Date,PORTFOLIO
12/31/20,0.002667944
1/4/21,-0.003995512
1/5/21,0.001808898
1/6/21,-8.83073E-05
1/7/21,0.00678155
1/8/21,0.002935281
1/11/21,-0.006664177
1/12/21,0.001466926
1/13/21,0.003911731
1/14/21,-0.002847368
1/15/21,-0.002613609
1/19/21,0.004715686
1/20/21,0.007784839
1/21/21,-0.001533723
1/22/21,-0.000277413
1/25/21,0.004114959
1/26/21,0.00082029
1/27/21,-0.013440105
1/28/21,0.004473591
1/29/21,-0.009936836
2/1/21,0.008722027
2/2/21,0.007614876
2/3/21,-0.000520588
2/4/21,0.004426488
2/5/21,0.001995598
2/8/21,0.003712009
2/9/21,0.000839585
2/10/21,3.74131E-05
2/11/21,0.000160119
2/12/21,0.001472907
2/16/21,-0.003916139
2/17/21,0.002111955
2/18/21,-0.001702851
2/19/21,-0.00263101
2/22/21,-0.007437055
2/23/21,-0.001339637
2/24/21,0.004264967
2/25/21,-0.014077103
2/26/21,0.000212942
3/1/21,0.011868334
3/2/21,-0.003181689
3/3/21,-0.008202885
3/4/21,-0.007685943
3/5/21,0.008642717
3/8/21,-0.002911026
3/9/21,0.012528621
3/10/21,0.003290628
3/11/21,0.005310606
3/12/21,-0.001616044
3/15/21,0.004569699
3/16/21,-0.000460094
3/17/21,0.001873863
3/18/21,-0.010229263
3/19/21,0.001765166
3/22/21,0.00379259
3/23/21,-0.004935218
3/24/21,-0.007984296
3/25/21,0.002552725
3/26/21,0.003120545
3/29/21,0.005145392
3/30/21,0.000445283
3/31/21,0.00627157
4/1/21,0.007014807
4/5/21,0.008064607
4/6/21,0.002061858
4/7/21,-0.002645279
4/8/21,0.00484499
4/9/21,0.00280887
4/12/21,0.000872161
4/13/21,0.007892455
4/14/21,-0.005449332
4/15/21,0.008255262
4/16/21,0.000404267
4/19/21,-0.008177761
4/20/21,-0.002885819
4/21/21,0.005337305
4/22/21,-0.003832353
4/23/21,0.007985153
4/26/21,0.004088932
4/27/21,-0.001042098
4/28/21,-0.000196755
4/29/21,0.000683252
4/30/21,-0.001303516
5/3/21,0.000223557
5/4/21,-0.00691231
5/5/21,-0.0020121
5/6/21,0.000584278
5/7/21,0.006220626
5/10/21,-0.011209474
5/11/21,-0.001112925
5/12/21,-0.016996086
5/13/21,0.001123232
5/14/21,0.015817414
5/17/21,-0.006445553
5/18/21,-0.001924321
5/19/21,-0.008909525
5/20/21,0.010449523
5/21/21,-0.009618246
5/24/21,0.012840914
5/25/21,-0.001646387
5/26/21,0.006336612
5/27/21,0.002015889
5/28/21,-0.006018604
6/1/21,0.000798962
6/2/21,0.005522261
6/3/21,-0.006225288
6/4/21,0.010957625
6/7/21,0.003562255
6/8/21,-0.004686715
6/9/21,0.007533203
6/10/21,-0.005361786
6/11/21,0.00716284
6/14/21,0.001552385
6/15/21,-0.014879185
6/16/21,-0.004831189
6/17/21,-0.001628503
6/18/21,-0.008810249
6/21/21,0.007310958
6/22/21,0.010915679
6/23/21,-0.000126933
6/24/21,-0.001042971
6/25/21,-0.003029879
6/28/21,0.01163793
6/29/21,-0.001547214
6/30/21,0.001589511
7/1/21,-0.000211295
7/2/21,0.00053001
7/6/21,0.00093961
7/7/21,-0.002729107
7/8/21,-0.012279651
7/9/21,0.012630923
7/12/21,0.003947059
7/13/21,-0.011792869
7/14/21,-0.005692679
7/15/21,0.000454007
7/16/21,-0.011923304
7/19/21,-0.013532394
7/20/21,0.010745987
7/21/21,0.016063933
7/22/21,-0.001784557
7/23/21,0.004619137
7/26/21,0.011139009
7/27/21,-0.009877348
7/28/21,0.005653138
7/29/21,0.004575568
7/30/21,-0.004708866
8/2/21,0.002632337
8/3/21,-0.00179672
8/4/21,0.003978453
8/5/21,0.006853776
8/6/21,0.000475041
8/9/21,0.008562338
8/10/21,-0.002153649
8/11/21,0.00398996
8/12/21,0.000704396
8/13/21,0.001028912
8/16/21,-0.005296235
8/17/21,-0.010772381
8/18/21,-0.007128414
8/19/21,-0.003541349
8/20/21,0.013287525
8/23/21,0.009830576
8/24/21,0.006423598
8/25/21,0.005468737
8/26/21,-0.011774261
8/27/21,0.024498051
8/30/21,0.005421383
8/31/21,0.000282174
9/1/21,0.009362771
9/2/21,0.003441765
9/3/21,0.003027454
9/7/21,-0.013367355
9/8/21,-0.002884795
9/9/21,-0.001408333
9/10/21,-0.008067663
9/13/21,-0.001639168
9/14/21,-0.002323077
9/15/21,0.009284404
9/16/21,0.000156421
9/17/21,-0.007817133
9/20/21,-0.023377386
9/21/21,-0.001235909
9/22/21,0.008937515
9/23/21,0.011471779
9/24/21,-0.004793693
9/27/21,-0.001002111
9/28/21,-0.021433587
9/29/21,-0.002641747
9/30/21,-0.001923954
10/1/21,0.015386084
10/4/21,-0.007522844
10/5/21,0.007427576
10/6/21,0.005979526
10/7/21,0.008042827
10/8/21,-0.003981821
10/11/21,-0.007750803
10/12/21,-0.000664557
10/13/21,0.007434895
10/14/21,0.017021464
10/15/21,0.004586624
10/18/21,2.58651E-05
10/19/21,0.008661908
10/20/21,0.006826663
10/21/21,0.001240981
10/22/21,-0.003986915
10/25/21,0.012284868
10/26/21,-0.000315365
10/27/21,-0.013018291
10/28/21,0.0158311
10/29/21,0.003115245
11/1/21,0.005449748
11/2/21,0.002407452
11/3/21,0.010027659
11/4/21,-0.001969225
11/5/21,9.88428E-05
11/8/21,0.005463564
11/9/21,-0.009562603
11/10/21,-0.013489838
11/11/21,0.003981385
11/12/21,0.00441451
11/15/21,-0.003613356
11/16/21,-0.003843047
11/17/21,-0.003467057
11/18/21,-0.007888283
11/19/21,0.003729181
11/22/21,-0.01157603
11/23/21,0.005570565
11/24/21,0.000582443
11/26/21,-0.021628006
11/29/21,0.016211644
11/30/21,-0.0110975
12/1/21,-0.014942683
12/2/21,0.011884116
12/3/21,-0.015551534
12/6/21,0.009928922
12/7/21,0.021790251
12/8/21,0.003992021
12/9/21,-0.017731912
12/10/21,0.003674214
12/13/21,-0.017009723
12/14/21,-0.002926978
